DEPT,DPHI,NPHI,GR,CALI,ILD
390,0.199,0.457,82.478,238.379,2.923
390.25,0.208,0.456,86.413,238.331,2.925
390.5,0.246,0.452,90.229,238.069,2.917
390.75,0.266,0.475,90.944,238.752,2.898
391,0.287,0.484,88.866,239.724,2.89
391.25,0.288,0.474,82.638,241.951,2.844
391.5,0.241,0.461,83.345,244.478,2.748
391.75,0.215,0.471,88.403,247.116,2.725
392,0.19,0.448,91.038,250.475,2.748
392.25,0.219,0.478,89.579,254.764,2.845
392.5,0.269,0.552,84.092,258.019,2.939
392.75,0.316,0.458,78.479,260.143,3.088
393,0.299,0.429,72.249,256.37,3.338
393.25,0.241,0.385,69.179,253.12,3.58
393.5,0.216,0.329,67.349,252.442,3.87
393.75,0.293,0.355,58.39,253.526,4.097
394,0.374,0.481,54.888,256.377,3.848
394.25,0.454,0.536,61.614,261.799,3.267
394.5,0.508,0.565,68.592,272.7,2.853
394.75,0.553,0.578,60.065,300.036,2.63
395,0.535,0.573,53.025,267.431,2.502
395.25,0.507,0.538,64.902,355.538,2.431
395.5,0.422,0.458,81.805,384.114,2.429
395.75,0.344,0.444,85.12,387.164,2.49
396,0.332,0.44,76.965,256.995,2.687
396.25,0.278,0.44,71.476,238.548,2.807
396.5,0.23,0.435,69.652,275.286,2.972
396.75,0.208,0.418,68.996,260.768,3.129
397,0.235,0.424,69.709,247.176,3.276
397.25,0.234,0.477,70.504,244.445,3.31
397.5,0.227,0.464,70.95,245.215,3.395
397.75,0.237,0.419,68.689,247.332,3.548
398,0.247,0.43,65.494,249.248,3.763
398.25,0.25,0.441,61.81,248.998,4.113
398.5,0.253,0.439,62.21,249.046,4.436
398.75,0.264,0.426,65.527,250.229,4.706
399,0.282,0.404,70.46,252.661,4.702
399.25,0.304,0.467,72.472,256.95,4.558
399.5,0.332,0.487,72.876,265.992,4.179
399.75,0.501,0.51,69.745,275.241,3.903
400,0.507,0.48,64.755,269.713,3.693
400.25,0.289,0.442,64.783,249.406,3.554
400.5,0.252,0.428,65.746,235.404,3.531
400.75,0.248,0.408,67.389,235.04,3.581
401,0.252,0.435,68.414,234.264,3.707
401.25,0.252,0.452,69.559,234.433,3.787
401.5,0.26,0.436,68.475,233.854,3.95
401.75,0.27,0.426,64.971,233.806,4.334
402,0.255,0.411,61.78,237.163,4.964
402.25,0.209,0.368,58.398,238.969,5.59
402.5,0.191,0.304,51.237,239.233,5.997
402.75,0.103,0.257,45.191,240.113,6.092
403,0.078,0.34,45.474,241.102,6.132
403.25,0.095,0.38,51.519,242.288,6.069
403.5,0.186,0.421,57.687,245.137,5.711
403.75,0.223,0.401,63.922,246.315,5.062
404,0.244,0.402,62.958,248.127,4.503
404.25,0.268,0.408,56.916,249.829,4.238
404.5,0.281,0.404,54.898,250.297,4.14
404.75,0.284,0.394,53.01,250.047,4.206
405,0.283,0.391,51.303,250.192,4.306
405.25,0.286,0.38,52.635,250.757,4.253
405.5,0.309,0.466,59.803,255.049,4.171
405.75,0.364,0.519,64.915,264.307,4.044
406,0.548,0.486,73.006,287.399,3.936
406.25,0.498,0.432,59.894,294.169,3.881
406.5,0.413,0.386,53.101,259.908,3.834
406.75,0.329,0.381,47.489,239.288,3.845
407,0.287,0.39,44.979,238.415,3.906
407.25,0.283,0.408,49.847,239.188,3.895
407.5,0.279,0.43,58.563,240.284,3.885
407.75,0.284,0.432,51.026,240.947,3.902
408,0.302,0.414,44.359,241.827,3.965
408.25,0.32,0.392,44.021,242.502,4.167
408.5,0.323,0.369,46.097,243.167,4.503
408.75,0.293,0.366,53.2,243.965,4.996
409,0.254,0.369,59.119,244.312,5.38
409.25,0.219,0.37,69.196,244.565,5.6
409.5,0.215,0.401,73.198,244.823,5.585
409.75,0.233,0.408,73.786,244.979,5.275
410,0.25,0.397,72.827,244.514,4.973
410.25,0.279,0.403,68.639,244.468,4.662
410.5,0.279,0.393,56.95,244.421,4.226
410.75,0.275,0.361,46.131,244.574,3.924
411,0.292,0.338,38.227,244.623,3.645
411.25,0.314,0.361,33.108,244.467,3.501
411.5,0.324,0.375,38.535,244.213,3.524
411.75,0.315,0.361,47.499,245.514,3.731
412,0.281,0.336,56.952,246.793,3.965
412.25,0.247,0.343,74.906,251.293,4.09
412.5,0.316,0.383,81.757,257.854,4.101
412.75,0.354,0.509,87.99,270.101,3.991
413,0.349,0.5,96.765,286.791,3.728
413.25,0.325,0.528,90.659,323.02,3.423
413.5,0.337,0.521,88.705,323.895,3.357
413.75,0.339,0.413,86.381,306.173,3.759
414,0.324,0.391,78.131,272.324,4.155
414.25,0.264,0.403,78.131,256.668,4.786
414.5,0.223,0.374,76.861,253.831,5.299
414.75,0.223,0.352,65.36,254.084,5.825
415,0.246,0.331,53.732,254.554,6.178
415.25,0.26,0.314,37.332,254.196,6.196
415.5,0.23,0.306,59.934,252.697,5.864
415.75,0.205,0.34,69.144,250.369,5.579
416,0.19,0.354,67.499,246.704,4.991
416.25,0.263,0.358,51.655,244.58,4.375
416.5,0.308,0.345,37.92,243.391,3.987
416.75,0.307,0.35,32.929,242.832,3.731
417,0.285,0.359,40.16,242.881,3.511
417.25,0.266,0.358,49.489,243.347,3.587
417.5,0.251,0.361,61.672,243.82,3.841
417.75,0.22,0.383,70.198,244.377,4.136
418,0.208,0.421,82.883,246.089,4.429
418.25,0.213,0.435,77.207,247.682,4.653
418.5,0.208,0.41,70.293,251.055,4.844
418.75,0.2,0.385,66.975,253.059,5.006
419,0.201,0.365,69.053,255.086,5.106
419.25,0.214,0.391,74.793,256.679,4.804
419.5,0.268,0.439,81.579,260.035,4.33
419.75,0.406,0.514,86.821,271.561,3.514
420,0.517,0.564,80.526,303.443,2.906
420.25,0.57,0.601,74.295,320.241,2.699
420.5,0.612,0.648,64.963,297.967,2.858
420.75,0.645,0.672,55.816,275.906,3.183
421,0.389,0.512,59.94,250.737,3.484
421.25,0.322,0.436,64.005,247.481,4.237
421.5,0.297,0.421,64.903,246.819,4.675
421.75,0.289,0.416,67.665,247.897,4.174
422,0.296,0.436,70.483,248.572,3.921
422.25,0.303,0.451,69.46,249.033,4.082
422.5,0.309,0.443,69.369,249.292,4.265
422.75,0.313,0.435,69.588,249.663,4.416
423,0.313,0.444,70.859,249.71,4.454
423.25,0.312,0.449,69.526,249.872,4.407
423.5,0.306,0.421,67.323,250.442,4.314
423.75,0.294,0.435,66.242,250.285,4.206
424,0.288,0.451,66.144,250.645,4.071
424.25,0.269,0.454,66.113,252.142,3.991
424.5,0.242,0.445,70.3,252.709,3.798
424.75,0.221,0.426,73.989,254.731,3.662
425,0.267,0.451,74.826,259.95,3.511
425.25,0.292,0.487,74.362,263.923,3.475
425.5,0.308,0.477,72.285,257.877,3.485
425.75,0.323,0.449,63.882,252.873,3.601
426,0.341,0.428,56.969,250.333,3.841
426.25,0.348,0.398,55.95,248.009,4.246
426.5,0.343,0.431,55.295,246.725,4.512
426.75,0.34,0.452,54.147,246.163,4.619
427,0.337,0.417,54.552,246.123,4.675
427.25,0.334,0.405,55.701,246.161,4.67
427.5,0.335,0.399,56.475,246.209,4.649
427.75,0.344,0.393,58.368,246.151,4.627
428,0.351,0.404,58.833,246.109,4.623
428.25,0.345,0.418,58.868,246.364,4.601
428.5,0.341,0.433,59.949,246.619,4.597
428.75,0.344,0.452,58.801,246.779,4.576
429,0.352,0.461,58.274,247.038,4.554
429.25,0.359,0.434,58.805,247.292,4.541
429.5,0.359,0.421,59.578,247.452,4.546
429.75,0.347,0.429,60.726,248.135,4.558
430,0.344,0.45,60.631,248.481,4.563
430.25,0.342,0.453,60.105,249.058,4.567
430.5,0.334,0.419,58.279,249.411,4.58
430.75,0.329,0.437,53.906,249.379,4.601
431,0.335,0.415,49.97,249.217,4.648
431.25,0.339,0.381,50.808,249.155,4.715
431.5,0.34,0.4,54.808,249.221,4.755
431.75,0.33,0.419,57.193,249.368,4.785
432,0.336,0.407,59.767,249.849,4.817
432.25,0.339,0.417,62.032,250.2,4.848
432.5,0.334,0.426,61.815,250.664,4.891
432.75,0.331,0.428,58.624,250.927,4.905
433,0.336,0.421,57.663,250.768,4.908
433.25,0.35,0.412,58.375,250.815,4.913
433.5,0.349,0.407,60.763,250.243,4.881
433.75,0.332,0.401,63.087,250.713,4.849
434,0.318,0.402,65.102,250.762,4.808
434.25,0.281,0.416,69.601,260.426,4.584
434.5,0.436,0.498,73.292,276.189,4.139
434.75,0.476,0.546,75.055,305.489,3.655
435,0.476,0.575,74.779,325.491,3.138
435.25,0.432,0.463,74.561,283.581,3.118
435.5,0.33,0.435,75.708,266.682,3.407
435.75,0.297,0.453,77.722,262.912,3.745
436,0.281,0.456,80.049,258.322,4.116
436.25,0.264,0.455,76.175,253.715,4.741
436.5,0.243,0.448,67.153,249.33,5.019
436.75,0.264,0.43,60.052,248.136,5.024
437,0.31,0.406,52.393,248.09,5.086
437.25,0.328,0.384,45.416,248.136,5.129
437.5,0.328,0.397,43.775,248.6,5.144
437.75,0.319,0.402,43.805,249.687,5.177
438,0.302,0.419,44.217,250.465,5.231
438.25,0.316,0.416,45.667,250.723,5.305
438.5,0.321,0.425,47.372,251.189,5.33
438.75,0.322,0.418,48.77,251.553,5.304
439,0.319,0.405,49.914,251.91,5.279
439.25,0.31,0.395,51.807,252.586,5.197
439.5,0.294,0.427,55.561,253.462,5.048
439.75,0.27,0.458,60.552,254.244,4.867
440,0.26,0.463,63.123,254.703,4.755
440.25,0.314,0.407,54.538,254.443,4.723
440.5,0.331,0.36,48.8,253.163,4.799
440.75,0.337,0.381,44.122,251.873,4.894
441,0.344,0.434,42.289,250.894,5.038
441.25,0.352,0.438,49.39,250.326,5.148
441.5,0.364,0.417,50.107,250.156,5.172
441.75,0.351,0.415,48.092,250.117,5.217
442,0.349,0.4,46.638,250.054,5.25
442.25,0.347,0.369,45.55,250.012,5.275
442.5,0.334,0.391,41.86,249.863,5.28
442.75,0.326,0.412,42.947,249.503,5.266
443,0.331,0.428,45.082,248.826,5.27
443.25,0.349,0.427,48.958,248.361,5.295
443.5,0.358,0.411,49.672,248.11,5.319
443.75,0.354,0.397,43.878,248.155,5.354
444,0.344,0.409,43.781,248.319,5.34
444.25,0.334,0.398,46.917,248.356,5.335
444.5,0.321,0.391,47.942,248.217,5.35
444.75,0.311,0.412,44.433,248.16,5.365
445,0.318,0.412,44.157,248.102,5.379
445.25,0.33,0.393,47.286,247.652,5.364
445.5,0.339,0.404,50.852,247.379,5.319
445.75,0.346,0.399,46.92,247.127,5.294
446,0.339,0.401,45.34,247.271,5.309
446.25,0.315,0.435,47.167,247.435,5.445
446.5,0.282,0.368,50.791,247.906,5.754
446.75,0.237,0.317,45.802,247.949,6.184
447,0.095,0.152,43.232,247.902,6.759
447.25,0.039,0.179,42.949,247.645,7.387
447.5,0.075,0.268,44.849,247.278,8.212
447.75,0.183,0.358,46.173,247.225,8.792
448,0.274,0.389,48.809,247.383,8.573
448.25,0.309,0.38,49.46,247.856,7.627
448.5,0.341,0.396,45.832,248.005,6.835
448.75,0.356,0.392,42.269,248.474,5.879
449,0.35,0.389,45.215,248.828,5.289
449.25,0.342,0.402,48.099,249.506,5.052
449.5,0.338,0.414,46.578,249.462,4.936
449.75,0.335,0.393,45.248,249.202,4.922
450,0.331,0.384,44.846,248.838,4.917
450.25,0.335,0.403,45.685,248.579,4.894
450.5,0.344,0.41,46.086,247.929,4.872
450.75,0.333,0.406,46.303,247.763,4.877
451,0.324,0.404,46.644,247.5,4.881
451.25,0.335,0.408,48.352,247.339,4.923
451.5,0.358,0.412,47.699,247.095,4.944
451.75,0.353,0.413,47.609,246.928,4.923
452,0.333,0.407,48.76,246.87,4.908
452.25,0.334,0.407,50.024,247.231,4.867
452.5,0.333,0.433,51.852,247.593,4.873
452.75,0.332,0.453,54.242,247.749,4.867
453,0.341,0.44,58.736,247.807,4.863
453.25,0.348,0.429,54.241,247.453,4.849
453.5,0.349,0.437,51.606,247.185,4.845
453.75,0.341,0.448,49.224,246.941,4.83
454,0.329,0.431,47.391,246.683,4.817
454.25,0.325,0.401,45.065,246.626,4.803
454.5,0.324,0.378,46.835,246.889,4.808
454.75,0.327,0.411,49.406,247.465,4.83
455,0.338,0.421,50.865,248.244,4.854
455.25,0.349,0.424,51.085,248.601,4.831
455.5,0.353,0.432,51.553,248.963,4.836
455.75,0.351,0.443,52.383,249.317,4.858
456,0.339,0.435,53.221,249.78,4.872
456.25,0.333,0.415,51.706,250.031,4.978
456.5,0.332,0.4,50.682,250.805,5.076
456.75,0.342,0.413,49.658,259.441,5.186
457,0.599,0.552,55.952,276.438,5.25
457.25,0.574,0.622,62.062,296.953,5.207
457.5,0.533,0.617,68.664,285.843,5.001
457.75,0.259,0.516,75.208,273.187,4.688
458,0.215,0.434,79.208,262.177,4.563
458.25,0.224,0.417,81.6,257.794,4.499
458.5,0.246,0.416,82.555,258.985,4.42
458.75,0.26,0.448,83.643,258.616,4.375
459,0.265,0.458,81.132,256.5,4.346
459.25,0.253,0.456,74.463,253.963,4.358
459.5,0.257,0.446,68.481,250.92,4.379
459.75,0.276,0.428,61.755,247.555,4.366
460,0.302,0.415,56.699,247.095,4.37
460.25,0.317,0.398,55.987,248.177,4.391
460.5,0.313,0.408,56.453,247.505,4.42
460.75,0.306,0.395,56.729,246.644,4.35
461,0.301,0.397,54.343,246.587,4.313
461.25,0.3,0.406,54.808,246.639,4.23
461.5,0.302,0.4,56.143,247.096,4.21
461.75,0.303,0.387,55.987,247.785,4.206
462,0.305,0.408,55.715,248.352,4.163
462.25,0.306,0.43,56.489,248.815,4.082
462.5,0.306,0.438,57.514,249.059,3.98
462.75,0.306,0.416,58.905,249.347,3.902
463,0.307,0.408,63.711,249.284,3.841
463.25,0.309,0.421,65.605,249.222,3.816
463.5,0.312,0.426,64.147,248.756,3.82
463.75,0.316,0.428,61.759,248.29,3.816
464,0.321,0.435,58.195,247.937,3.841
464.25,0.322,0.422,55.498,247.47,3.896
